record_id,journal_name,pub_year,subject_terms,cluster_id
88657,ACM COMPUTING SURVEYS,2001,"Computer Science, Theory & Methods,Computer Science",0
88661,ACM COMPUTING SURVEYS,2002,"Computer Science, Theory & Methods,Computer Science",0
88666,ACM COMPUTING SURVEYS,2003,"Computer Science, Theory & Methods,Computer Science",0
88667,ACM COMPUTING SURVEYS,2003,"Computer Science, Theory & Methods,Computer Science",3
88671,ACM COMPUTING SURVEYS,2004,"Computer Science, Theory & Methods,Computer Science",0
88674,ACM COMPUTING SURVEYS,2005,"Computer Science, Theory & Methods,Computer Science",2
88675,ACM COMPUTING SURVEYS,2005,"Computer Science, Theory & Methods,Computer Science",0
88678,ACM COMPUTING SURVEYS,2006,"Computer Science, Theory & Methods,Computer Science",0
88681,ACM COMPUTING SURVEYS,2007,"Computer Science, Theory & Methods,Computer Science",3
88683,ACM COMPUTING SURVEYS,2007,"Computer Science, Theory & Methods,Computer Science",0
88685,ACM COMPUTING SURVEYS,2008,"Computer Science, Theory & Methods,Computer Science",0
88690,ACM COMPUTING SURVEYS,2009,"Computer Science, Theory & Methods,Computer Science",0
88691,ACM COMPUTING SURVEYS,2009,"Computer Science, Theory & Methods,Computer Science",0
88692,ACM COMPUTING SURVEYS,2010,"Computer Science, Theory & Methods,Computer Science",3
88693,ACM COMPUTING SURVEYS,2010,"Computer Science, Theory & Methods,Computer Science",0
88694,ACM COMPUTING SURVEYS,2010,"Computer Science, Theory & Methods,Computer Science",0
88695,ACM COMPUTING SURVEYS,2010,"Computer Science, Theory & Methods,Computer Science",3
88697,ACM COMPUTING SURVEYS,2011,"Computer Science, Theory & Methods,Computer Science",2
88698,ACM COMPUTING SURVEYS,2011,"Computer Science, Theory & Methods,Computer Science",4
88699,ACM COMPUTING SURVEYS,2011,"Computer Science, Theory & Methods,Computer Science",0
88700,ACM COMPUTING SURVEYS,2012,"Computer Science, Theory & Methods,Computer Science",0
88701,ACM COMPUTING SURVEYS,2012,"Computer Science, Theory & Methods,Computer Science",0
88702,ACM COMPUTING SURVEYS,2012,"Computer Science, Theory & Methods,Computer Science",0
88703,ACM COMPUTING SURVEYS,2012,"Computer Science, Theory & Methods,Computer Science",0
88704,ACM COMPUTING SURVEYS,2013,"Computer Science, Theory & Methods,Computer Science",6
88705,ACM COMPUTING SURVEYS,2013,"Computer Science, Theory & Methods,Computer Science",5
88706,ACM COMPUTING SURVEYS,2013,"Computer Science, Theory & Methods,Computer Science",6
88707,ACM COMPUTING SURVEYS,2013,"Computer Science, Theory & Methods,Computer Science",3
88708,ACM COMPUTING SURVEYS,2014,"Computer Science, Theory & Methods,Computer Science",0
88709,ACM COMPUTING SURVEYS,2014,"Computer Science, Theory & Methods,Computer Science",0
88710,ACM COMPUTING SURVEYS,2014,"Computer Science, Theory & Methods,Computer Science",3
88711,ACM COMPUTING SURVEYS,2014,"Computer Science, Theory & Methods,Computer Science",3
88712,ACM COMPUTING SURVEYS,2015,"Computer Science, Theory & Methods,Computer Science",3
88713,ACM COMPUTING SURVEYS,2015,"Computer Science, Theory & Methods,Computer Science",3
